time,load,charge
0,153,0
10,154,0
20,154,0
30,153,0
40,152,0
50,151,0
60,152,0
70,154,0
80,153,0
90,152,0
100,151,0
110,150,0
120,150,0
130,149,0
140,150,0
150,150,0
160,149,0
170,147,0
180,147,0
190,147,0
200,147,0
210,147,0
220,144,0
230,145,0
240,145,0
250,145,0
260,147,0
270,147,0
280,148,0
290,148,0
300,149,0
310,150,0
320,148,0
330,147,0
340,148,0
350,150,0
360,151,0
370,152,0
380,152,0
390,152,0
400,152,0
410,149,0
420,149,0
430,149,0
440,149,0
450,148,0
460,150,0
470,150,0
480,149,0
490,148,0
500,145,0
510,145,0
520,146,0
530,146,0
540,147,0
550,146,0
560,147,0
570,146,0
580,147,0
590,84,0
600,83,0
610,83,0
620,83,0
630,83,0
640,83,0
650,84,0
660,85,0
670,86,0
680,85,0
690,84,0
700,83,0
710,82,0
720,85,0
730,86,0
740,86,0
750,87,0
760,86,0
770,84,0
780,84,0
790,152,0
800,150,0
810,151,0
820,150,0
830,151,0
840,151,0
850,152,0
860,150,0
870,150,0
880,151,0
890,152,0
900,151,0
910,150,0
920,256,0
930,257,0
940,260,0
950,261,0
960,259,0
970,259,0
980,259,0
990,258,0
1000,258,0
1010,257,0
1020,255,0
1030,254,0
1040,254,0
1050,254,0
1060,256,0
1070,256,0
1080,258,0
1090,255,0
1100,256,0
1110,256,0
1120,258,0
1130,153,0
1140,151,0
1150,152,0
1160,152,0
1170,152,0
1180,152,0
1190,152,0
1200,152,0
1210,153,0
1220,155,0
1230,153,0
1240,153,0
1250,82,0
1260,84,0
1270,82,0
1280,83,0
1290,83,0
1300,82,0
1310,84,0
1320,85,0
1330,82,0
1340,83,0
1350,84,0
1360,83,0
1370,84,0
1380,86,0
1390,85,0
1400,85,0
1410,85,0
1420,85,0
1430,84,0
1440,84,0
1450,84,0
1460,84,0
1470,85,0
1480,82,0
1490,84,0
1500,83,0
1510,82,0
1520,82,0
1530,82,0
1540,82,0
1550,81,0
1560,80,0
1570,79,0
1580,78,0
1590,78,0
1600,79,0
1610,79,0
1620,81,0
1630,81,0
1640,80,0
1650,80,0
1660,80,0
1670,78,0
1680,78,0
1690,80,0
1700,79,0
1710,79,0
1720,78,0
1730,77,0
1740,75,0
1750,77,0
1760,78,0
1770,77,0
1780,77,0
1790,79,0
1800,79,0
1810,79,0
1820,79,0
1830,80,0
1840,80,0
1850,81,0
1860,82,0
1870,81,0
1880,80,0
1890,80,0
1900,79,0
1910,78,0
1920,79,0
1930,80,0
1940,79,0
1950,79,0
1960,80,0
1970,80,0
1980,81,0
1990,80,0
2000,82,0
2010,83,0
2020,85,0
2030,84,0
2040,84,0
2050,85,0
2060,84,0
2070,84,0
2080,83,0
2090,83,0
2100,83,0
2110,83,0
2120,82,0
2130,154,0
2140,155,0
2150,152,0
2160,152,0
2170,150,0
2180,151,0
2190,150,0
2200,151,0
2210,152,0
2220,151,0
2230,151,0
2240,150,0
2250,84,0
2260,83,0
2270,83,0
2280,82,0
2290,82,0
2300,82,0
2310,82,0
2320,82,0
2330,81,0
2340,81,0
2350,82,0
2360,80,0
2370,80,0
2380,80,0
2390,80,0
2400,80,0
2410,80,0
2420,80,0
2430,79,0
2440,152,0
2450,151,0
2460,152,0
2470,152,0
2480,153,0
2490,154,0
2500,156,0
2510,157,0
2520,157,0
2530,158,0
2540,160,0
2550,158,0
2560,83,0
2570,82,0
2580,82,0
2590,83,0
2600,85,0
2610,84,0
2620,85,0
2630,86,0
2640,87,0
2650,87,0
2660,86,0
2670,86,0
2680,86,0
2690,86,0
2700,85,0
2710,85,0
2720,86,0
2730,84,0
2740,85,0
2750,86,0
2760,86,0
2770,87,0
2780,88,0
2790,87,0
2800,86,0
2810,86,0
2820,86,0
2830,85,0
2840,84,0
2850,84,0
2860,83,0
2870,83,0
2880,83,0
2890,82,0
2900,82,0
2910,82,0
2920,81,0
2930,80,0
2940,79,0
2950,77,0
2960,76,0
2970,76,0
2980,75,0
2990,75,0
3000,75,0
3010,76,0
3020,77,0
3030,76,0
3040,76,0
3050,78,0
3060,80,0
3070,79,0
3080,79,0
3090,79,0
3100,80,0
3110,79,0
3120,79,0
3130,80,0
3140,79,0
3150,81,0
3160,81,0
3170,81,0
3180,80,0
3190,80,0
3200,80,0
3210,80,0
3220,80,0
3230,78,0
3240,78,0
3250,77,0
3260,78,0
3270,76,0
3280,76,0
3290,79,0
3300,80,0
3310,79,0
3320,78,0
3330,79,0
3340,79,0
3350,77,0
3360,78,0
3370,79,0
3380,79,0
3390,80,0
3400,79,0
3410,78,0
3420,77,0
3430,77,0
3440,154,0
3450,154,0
3460,152,0
3470,153,0
3480,154,0
3490,154,0
3500,154,0
3510,155,0
3520,157,0
3530,159,0
3540,160,0
3550,161,0
3560,256,0
3570,254,0
3580,252,0
3590,253,0
3600,249,0
3610,248,0
3620,250,0
3630,249,0
3640,250,0
3650,247,0
3660,246,0
3670,246,0
3680,247,0
3690,246,0
3700,245,0
3710,246,0
3720,242,0
3730,242,0
3740,247,0
3750,251,0
3760,253,0
3770,154,0
3780,152,0
3790,152,0
3800,150,0
3810,149,0
3820,150,0
3830,149,0
3840,149,0
3850,148,0
3860,149,0
3870,149,0
3880,149,0
3890,149,0
3900,82,0
3910,81,0
3920,81,0
3930,81,0
3940,82,0
3950,83,0
3960,83,0
3970,83,0
3980,83,0
3990,81,0
4000,81,0
4010,82,0
4020,82,0
4030,81,0
4040,81,0
4050,83,0
4060,81,0
4070,81,0
4080,82,0
4090,83,0
4100,154,0
4110,153,0
4120,152,0
4130,153,0
4140,152,0
4150,152,0
4160,153,0
4170,152,0
4180,152,0
4190,152,0
4200,152,0
4210,154,0
4220,255,0
4230,257,0
4240,257,0
4250,259,0
4260,259,0
4270,257,0
4280,258,0
4290,259,0
4300,258,0
4310,255,0
4320,256,0
4330,255,0
4340,256,0
4350,256,0
4360,255,0
4370,255,0
4380,254,0
4390,257,0
4400,254,0
4410,254,0
4420,254,0
4430,253,0
4440,250,0
4450,250,0
4460,252,0
4470,252,0
4480,252,0
4490,250,0
4500,251,0
4510,252,0
4520,252,0
4530,253,0
4540,253,0
4550,252,0
4560,257,0
4570,255,0
4580,253,0
4590,253,0
4600,255,0
4610,256,0
4620,257,0
4630,258,0
4640,259,0
4650,258,0
4660,259,0
4670,256,0
4680,252,0
4690,254,0
4700,254,0
4710,254,0
4720,253,0
4730,255,0
4740,257,0
4750,256,0
4760,252,0
4770,253,0
4780,254,0
4790,251,0
4800,251,0
4810,248,0
4820,251,0
4830,253,0
4840,255,0
4850,254,0
4860,252,0
4870,252,0
4880,253,0
4890,254,0
4900,255,0
4910,255,0
4920,257,0
4930,255,0
4940,255,0
4950,254,0
4960,253,0
4970,253,0
4980,252,0
4990,251,0
5000,251,0
5010,253,0
5020,255,0
5030,258,0
5040,255,0
5050,258,0
5060,256,0
5070,254,0
5080,257,0
5090,258,0
5100,258,0
5110,255,0
5120,258,0
